stock_code,cluster,method,tag,score,dim,value,rank_in_group,tags
002862.SZ,,latent_extreme,z1_top,74.268845,z1,74.268845,7,cluster_6_rep|z1_top|z3_top|z4_top|z5_top|z6_top|z7_top|z8_top
002862.SZ,,latent_extreme,z3_top,42.43037,z3,42.43037,9,cluster_6_rep|z1_top|z3_top|z4_top|z5_top|z6_top|z7_top|z8_top
002862.SZ,,latent_extreme,z4_top,19.040339,z4,19.040339,10,cluster_6_rep|z1_top|z3_top|z4_top|z5_top|z6_top|z7_top|z8_top
002862.SZ,,latent_extreme,z5_top,29.98033,z5,29.98033,2,cluster_6_rep|z1_top|z3_top|z4_top|z5_top|z6_top|z7_top|z8_top
002862.SZ,,latent_extreme,z6_top,14.011361,z6,14.011361,2,cluster_6_rep|z1_top|z3_top|z4_top|z5_top|z6_top|z7_top|z8_top
002862.SZ,,latent_extreme,z7_top,40.822853,z7,40.822853,6,cluster_6_rep|z1_top|z3_top|z4_top|z5_top|z6_top|z7_top|z8_top
002862.SZ,,latent_extreme,z8_top,13.981486,z8,13.981486,6,cluster_6_rep|z1_top|z3_top|z4_top|z5_top|z6_top|z7_top|z8_top
002893.SZ,,latent_extreme,z1_bottom,1.3173246,z1,1.3173246,3,z1_bottom
300157.SZ,,latent_extreme,z1_bottom,1.303575,z1,1.303575,2,z1_bottom
300198.SZ,,latent_extreme,z4_bottom,-6.338706,z4,-6.338706,9,z4_bottom|z6_top
300198.SZ,,latent_extreme,z6_top,7.793944,z6,7.793944,6,z4_bottom|z6_top
300322.SZ,,latent_extreme,z2_top,-0.40838045,z2,-0.40838045,6,z2_top
300338.SZ,,latent_extreme,z1_bottom,1.6074243,z1,1.6074243,10,z1_bottom|z2_top
300338.SZ,,latent_extreme,z2_top,-1.0818802,z2,-1.0818802,10,z1_bottom|z2_top
300393.SZ,,latent_extreme,z5_top,7.062493,z5,7.062493,8,z5_top
300612.SZ,,latent_extreme,z5_top,7.237668,z5,7.237668,7,z5_top
300641.SZ,,latent_extreme,z5_bottom,-57.221256,z5,-57.221256,6,z5_bottom|z6_bottom
300641.SZ,,latent_extreme,z6_bottom,-20.776402,z6,-20.776402,7,z5_bottom|z6_bottom
